
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";
3878449996;24.11.22;11:13:16;Type: LC 
3878449998;24.11.22;11:13:17;20180201.par
3878449996;24.11.22;11:13:16;1;7;16; --- ;0;Fo: ;0;0;1145;0;0;Fm: ;0;0;1757;0;0
3878449996;24.11.22;11:13:16;1;1;16; --- ;0;0;0;1145;0;0;0;0;1757;0;0;    0;    0; 1145;    0;    0;0.000;0.000;0.348;0.000;0.000;
3878450057;24.11.22;11:14:17;2;32;16; --- ;5;0;0;1139;0;0;0;0;1620;0;0;    0;    0; 1085;    0;    0;0.000;0.000;0.297;0.000;0.000;
3878450117;24.11.22;11:15:17;3;64;16; --- ;10;0;0;1083;0;0;0;0;1502;0;0;    0;    0; 1031;    0;    0;0.000;0.000;0.279;0.000;0.000;
3878450177;24.11.22;11:16:17;4;128;16; --- ;21;0;0;1066;0;0;0;0;1463;0;0;    0;    0; 1012;    0;    0;0.000;0.000;0.271;0.000;0.000;
3878450237;24.11.22;11:17:17;5;128;16; --- ;33;0;0;1007;0;0;0;0;1425;0;0;    0;    0;  994;    0;    0;0.000;0.000;0.293;0.000;0.000;
3878450297;24.11.22;11:18:17;6;128;16; --- ;47;0;0;986;0;0;0;0;1425;0;0;    0;    0;  994;    0;    0;0.000;0.000;0.308;0.000;0.000;
3878450357;24.11.22;11:19:17;7;128;16; --- ;81;0;0;996;0;0;0;0;1479;0;0;    0;    0; 1020;    0;    0;0.000;0.000;0.327;0.000;0.000;
3878450417;24.11.22;11:20:17;8;128;16; --- ;127;0;0;1010;0;0;0;0;1457;0;0;    0;    0; 1010;    0;    0;0.000;0.000;0.307;0.000;0.000;
3878450477;24.11.22;11:21:17;9;128;16; --- ;240;0;0;973;0;0;0;0;1275;0;0;    0;    0;  919;    0;    0;0.000;0.000;0.237;0.000;0.000;
3878450537;24.11.22;11:22:17;10;128;16; --- ;404;0;0;938;0;0;0;0;1134;0;0;    0;    0;  843;    0;    0;0.000;0.000;0.173;0.000;0.000;
3878450597;24.11.22;11:23:17;11;128;16; --- ;553;0;0;926;0;0;0;0;1075;0;0;    0;    0;  810;    0;    0;0.000;0.000;0.139;0.000;0.000;
3878450657;24.11.22;11:24:17;12;128;16; --- ;667;0;0;906;0;0;0;0;1026;0;0;    0;    0;  782;    0;    0;0.000;0.000;0.117;0.000;0.000;
3878450717;24.11.22;11:25:17;13;128;16; --- ;787;0;0;906;0;0;0;0;1009;0;0;    0;    0;  772;    0;    0;0.000;0.000;0.102;0.000;0.000;
3878450777;24.11.22;11:26:17;14;128;16; --- ;934;0;0;904;0;0;0;0;985;0;0;    0;    0;  758;    0;    0;0.000;0.000;0.082;0.000;0.000;
