
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
3878455804;24.11.22;12:50:04;Type: LC 
3878455805;24.11.22;12:50:05;20180201.par
3878455804;24.11.22;12:50:04;1;7;17; --- ;0;Fo: ;0;0;1317;0;0;Fm: ;0;0;2078;0;0
3878455804;24.11.22;12:50:04;1;1;17; --- ;0;0;0;1317;0;0;0;0;2078;0;0;    0;    0; 1317;    0;    0;0.000;0.000;0.366;0.000;0.000;    0;    0;    0;    0;    0;
3878455865;24.11.22;12:51:05;2;32;17; --- ;5;0;0;1404;0;0;0;0;1910;0;0;    0;    0; 1247;    0;    0;0.000;0.000;0.265;0.000;0.000;    0;    0;    0;    0;    0;
3878455925;24.11.22;12:52:05;3;64;17; --- ;10;0;0;1410;0;0;0;0;1886;0;0;    0;    0; 1237;    0;    0;0.000;0.000;0.252;0.000;0.000;    0;    0;    1;    0;    0;
3878455985;24.11.22;12:53:05;4;128;17; --- ;21;0;0;1416;0;0;0;0;1893;0;0;    0;    0; 1240;    0;    0;0.000;0.000;0.252;0.000;0.000;    0;    0;    2;    0;    0;
3878456045;24.11.22;12:54:05;5;128;17; --- ;93;0;0;1430;0;0;0;0;2001;0;0;    0;    0; 1286;    0;    0;0.000;0.000;0.285;0.000;0.000;    0;    0;   11;    0;    0;
3878456105;24.11.22;12:55:05;6;128;17; --- ;119;0;0;1434;0;0;0;0;1973;0;0;    0;    0; 1274;    0;    0;0.000;0.000;0.273;0.000;0.000;    0;    0;   14;    0;    0;
3878456165;24.11.22;12:56:05;7;128;17; --- ;178;0;0;1407;0;0;0;0;1859;0;0;    0;    0; 1226;    0;    0;0.000;0.000;0.243;0.000;0.000;    0;    0;   18;    0;    0;
3878456225;24.11.22;12:57:05;8;128;17; --- ;261;0;0;1350;0;0;0;0;1702;0;0;    0;    0; 1155;    0;    0;0.000;0.000;0.207;0.000;0.000;    0;    0;   23;    0;    0;
3878456285;24.11.22;12:58:05;9;128;17; --- ;463;0;0;1291;0;0;0;0;1512;0;0;    0;    0; 1064;    0;    0;0.000;0.000;0.146;0.000;0.000;    0;    0;   28;    0;    0;
3878456345;24.11.22;12:59:05;10;128;17; --- ;753;0;0;1248;0;0;0;0;1388;0;0;    0;    0; 1001;    0;    0;0.000;0.000;0.101;0.000;0.000;    0;    0;   32;    0;    0;
3878456405;24.11.22;13:00:05;11;128;17; --- ;1007;0;0;1221;0;0;0;0;1327;0;0;    0;    0;  969;    0;    0;0.000;0.000;0.080;0.000;0.000;    0;    0;   34;    0;    0;
3878456465;24.11.22;13:01:05;12;128;17; --- ;1207;0;0;1216;0;0;0;0;1300;0;0;    0;    0;  955;    0;    0;0.000;0.000;0.065;0.000;0.000;    0;    0;   33;    0;    0;
3878456525;24.11.22;13:02:05;13;128;17; --- ;1413;0;0;1199;0;0;0;0;1273;0;0;    0;    0;  940;    0;    0;0.000;0.000;0.058;0.000;0.000;    0;    0;   34;    0;    0;
3878456585;24.11.22;13:03:05;14;128;17; --- ;1676;0;0;1194;0;0;0;0;1246;0;0;    0;    0;  925;    0;    0;0.000;0.000;0.042;0.000;0.000;    0;    0;   29;    0;    0;
