
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    1733;02.12.22;11:50:40;Type: LC 
    1734;02.12.22;11:50:40;20180201.par
    1733;02.12.22;11:50:40;1;7;17; --- ;0;Fo: ;0;0;1125;0;0;Fm: ;0;0;1447;0;0
    1733;02.12.22;11:50:40;1;1;17; --- ;0;0;0;1125;0;0;0;0;1447;0;0;    0;    0; 1125;    0;    0;0.000;0.000;0.223;0.000;0.000;    0;    0;    0;    0;    0;
    1793;02.12.22;11:51:40;2;32;17; --- ;5;0;0;1138;0;0;0;0;1385;0;0;    0;    0; 1087;    0;    0;0.000;0.000;0.178;0.000;0.000;    0;    0;    0;    0;    0;
    1853;02.12.22;11:52:40;3;64;17; --- ;10;0;0;1126;0;0;0;0;1348;0;0;    0;    0; 1064;    0;    0;0.000;0.000;0.165;0.000;0.000;    0;    0;    0;    0;    0;
    1913;02.12.22;11:53:40;4;128;17; --- ;21;0;0;1113;0;0;0;0;1307;0;0;    0;    0; 1039;    0;    0;0.000;0.000;0.148;0.000;0.000;    0;    0;    1;    0;    0;
    1973;02.12.22;11:54:40;5;128;17; --- ;93;0;0;1216;0;0;0;0;1407;0;0;    0;    0; 1101;    0;    0;0.000;0.000;0.136;0.000;0.000;    0;    0;    5;    0;    0;
    2033;02.12.22;11:55:40;6;128;17; --- ;119;0;0;1217;0;0;0;0;1397;0;0;    0;    0; 1095;    0;    0;0.000;0.000;0.129;0.000;0.000;    0;    0;    6;    0;    0;
    2093;02.12.22;11:56:40;7;128;17; --- ;178;0;0;1199;0;0;0;0;1361;0;0;    0;    0; 1072;    0;    0;0.000;0.000;0.119;0.000;0.000;    0;    0;    9;    0;    0;
    2153;02.12.22;11:57:40;8;128;17; --- ;261;0;0;1173;0;0;0;0;1305;0;0;    0;    0; 1037;    0;    0;0.000;0.000;0.101;0.000;0.000;    0;    0;   11;    0;    0;
    2213;02.12.22;11:58:40;9;128;17; --- ;463;0;0;1144;0;0;0;0;1239;0;0;    0;    0;  995;    0;    0;0.000;0.000;0.077;0.000;0.000;    0;    0;   15;    0;    0;
    2273;02.12.22;11:59:40;10;128;17; --- ;753;0;0;1110;0;0;0;0;1171;0;0;    0;    0;  951;    0;    0;0.000;0.000;0.052;0.000;0.000;    0;    0;   16;    0;    0;
    2333;02.12.22;12:00:40;11;128;17; --- ;1007;0;0;1108;0;0;0;0;1157;0;0;    0;    0;  942;    0;    0;0.000;0.000;0.042;0.000;0.000;    0;    0;   18;    0;    0;
    2393;02.12.22;12:01:40;12;128;17; --- ;1207;0;0;1132;0;0;0;0;1175;0;0;    0;    0;  953;    0;    0;0.000;0.000;0.037;0.000;0.000;    0;    0;   19;    0;    0;
    2453;02.12.22;12:02:40;13;128;17; --- ;1413;0;0;1116;0;0;0;0;1151;0;0;    0;    0;  938;    0;    0;0.000;0.000;0.030;0.000;0.000;    0;    0;   18;    0;    0;
    2513;02.12.22;12:03:40;14;128;17; --- ;1676;0;0;1111;0;0;0;0;1136;0;0;    0;    0;  928;    0;    0;0.000;0.000;0.022;0.000;0.000;    0;    0;   15;    0;    0;
