
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"~Fo'1";"~Fo'2";"~Fo'3";"~Fo'4";"~Fo'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   10288;02.12.22;14:13:15;Type: LC 
   10289;02.12.22;14:13:15;20180201.par
   10288;02.12.22;14:13:15;1;7;16; --- ;1;Fo: ;1117;660;1320;1055;824;Fm: ;1997;1148;2244;1483;1082
   10288;02.12.22;14:13:15;1;1;16; --- ;1;1117;660;1320;1055;824;1997;1148;2244;1483;1082; 1117;  660; 1320; 1055;  824;0.441;0.425;0.412;0.289;0.238;    0;    0;    0;    0;    0;
   10348;02.12.22;14:14:15;2;32;16; --- ;5;0;0;1380;0;0;0;0;2216;0;0; 1117;  660; 1310; 1055;  824;0.000;0.000;0.377;0.000;0.000;    0;    0;    0;    0;    0;
   10408;02.12.22;14:15:15;3;64;16; --- ;10;0;0;1364;0;0;0;0;2197;0;0; 1117;  660; 1304; 1055;  824;0.000;0.000;0.379;0.000;0.000;    0;    0;    2;    0;    0;
   10468;02.12.22;14:16:15;4;128;16; --- ;21;0;0;1374;0;0;0;0;2284;0;0; 1117;  660; 1334; 1055;  824;0.000;0.000;0.398;0.000;0.000;    0;    0;    4;    0;    0;
   10528;02.12.22;14:17:15;5;128;16; --- ;93;0;0;1675;0;0;0;0;2511;0;0; 1117;  660; 1408; 1055;  824;0.000;0.000;0.333;0.000;0.000;    0;    0;   13;    0;    0;
   10588;02.12.22;14:18:15;6;128;16; --- ;119;0;0;1604;0;0;0;0;2374;0;0; 1117;  660; 1364; 1055;  824;0.000;0.000;0.324;0.000;0.000;    0;    0;   16;    0;    0;
   10648;02.12.22;14:19:15;7;128;16; --- ;178;0;0;1641;0;0;0;0;2314;0;0; 1117;  660; 1344; 1055;  824;0.000;0.000;0.291;0.000;0.000;    0;    0;   22;    0;    0;
   10708;02.12.22;14:20:15;8;128;16; --- ;261;0;0;1680;0;0;0;0;2256;0;0; 1117;  660; 1324; 1055;  824;0.000;0.000;0.255;0.000;0.000;    0;    0;   28;    0;    0;
   10768;02.12.22;14:21:15;9;128;16; --- ;463;0;0;1727;0;0;0;0;2163;0;0; 1117;  660; 1292; 1055;  824;0.000;0.000;0.202;0.000;0.000;    0;    0;   39;    0;    0;
   10828;02.12.22;14:22:15;10;128;16; --- ;753;0;0;1744;0;0;0;0;2043;0;0; 1117;  660; 1248; 1055;  824;0.000;0.000;0.146;0.000;0.000;    0;    0;   46;    0;    0;
   10888;02.12.22;14:23:15;11;128;16; --- ;1007;0;0;1718;0;0;0;0;1936;0;0; 1117;  660; 1207; 1055;  824;0.000;0.000;0.113;0.000;0.000;    0;    0;   48;    0;    0;
   10948;02.12.22;14:24:15;12;128;16; --- ;1207;0;0;1675;0;0;0;0;1842;0;0; 1117;  660; 1170; 1055;  824;0.000;0.000;0.091;0.000;0.000;    0;    0;   46;    0;    0;
   11008;02.12.22;14:25:15;13;128;16; --- ;1413;0;0;1628;0;0;0;0;1756;0;0; 1117;  660; 1135; 1055;  824;0.000;0.000;0.073;0.000;0.000;    0;    0;   43;    0;    0;
   11068;02.12.22;14:26:15;14;128;16; --- ;1676;0;0;1607;0;0;0;0;1707;0;0; 1117;  660; 1114; 1055;  824;0.000;0.000;0.059;0.000;0.000;    0;    0;   41;    0;    0;
