
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
   97693;05.07.22;13:59:12;Type: LC 
   97695;05.07.22;13:59:13;20180201.par
   97693;05.07.22;13:59:12;1;7;15; --- ;0;Fo: ;0;0;976;0;0;Fm: ;0;0;2158;0;0
   97693;05.07.22;13:59:12;1;1;15; --- ;0;0;0;976;0;0;0;0;2158;0;0;0.000;0.000;0.548;0.000;0.000;    0;    0;    0;    0;    0;
   97754;05.07.22;14:00:13;2;32;15; --- ;5;0;0;1050;0;0;0;0;2205;0;0;0.000;0.000;0.524;0.000;0.000;    0;    0;    1;    0;    0;
   97814;05.07.22;14:01:13;3;64;15; --- ;10;0;0;1050;0;0;0;0;2248;0;0;0.000;0.000;0.533;0.000;0.000;    0;    0;    2;    0;    0;
   97874;05.07.22;14:02:13;4;128;15; --- ;21;0;0;1055;0;0;0;0;2346;0;0;0.000;0.000;0.550;0.000;0.000;    0;    0;    5;    0;    0;
   97934;05.07.22;14:03:13;5;128;15; --- ;33;0;0;1097;0;0;0;0;2648;0;0;0.000;0.000;0.586;0.000;0.000;    0;    0;    8;    0;    0;
   97994;05.07.22;14:04:13;6;128;15; --- ;47;0;0;1240;0;0;0;0;2593;0;0;0.000;0.000;0.522;0.000;0.000;    0;    0;   10;    0;    0;
   98054;05.07.22;14:05:13;7;128;15; --- ;81;0;0;1411;0;0;0;0;2405;0;0;0.000;0.000;0.413;0.000;0.000;    0;    0;   14;    0;    0;
   98114;05.07.22;14:06:13;8;128;15; --- ;127;0;0;1387;0;0;0;0;2133;0;0;0.000;0.000;0.350;0.000;0.000;    0;    0;   19;    0;    0;
   98174;05.07.22;14:07:13;9;128;15; --- ;240;0;0;1310;0;0;0;0;1829;0;0;0.000;0.000;0.284;0.000;0.000;    0;    0;   29;    0;    0;
   98234;05.07.22;14:08:13;10;128;15; --- ;404;0;0;1277;0;0;0;0;1663;0;0;0.000;0.000;0.232;0.000;0.000;    0;    0;   39;    0;    0;
   98294;05.07.22;14:09:13;11;128;15; --- ;553;0;0;1251;0;0;0;0;1565;0;0;0.000;0.000;0.201;0.000;0.000;    0;    0;   47;    0;    0;
   98354;05.07.22;14:10:13;12;128;15; --- ;667;0;0;1240;0;0;0;0;1516;0;0;0.000;0.000;0.182;0.000;0.000;    0;    0;   51;    0;    0;
   98414;05.07.22;14:11:13;13;128;15; --- ;787;0;0;1238;0;0;0;0;1479;0;0;0.000;0.000;0.163;0.000;0.000;    0;    0;   54;    0;    0;
   98474;05.07.22;14:12:13;14;128;15; --- ;934;0;0;1226;0;0;0;0;1425;0;0;0.000;0.000;0.140;0.000;0.000;    0;    0;   55;    0;    0;
