
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    4525;12.07.22;11:25:24;Type: LC 
    4526;12.07.22;11:25:24;20180201.par
    4525;12.07.22;11:25:24;1;7;13; --- ;0;Fo: ;0;0;1306;0;0;Fm: ;0;0;3741;0;0
    4525;12.07.22;11:25:24;1;1;13; --- ;0;0;0;1306;0;0;0;0;3741;0;0;0.000;0.000;0.651;0.000;0.000;    0;    0;    0;    0;    0;
    4585;12.07.22;11:26:24;2;32;13; --- ;5;0;0;1382;0;0;0;0;3868;0;0;0.000;0.000;0.643;0.000;0.000;    0;    0;    1;    0;    0;
    4645;12.07.22;11:27:24;3;64;13; --- ;10;0;0;1382;0;0;0;0;3911;0;0;0.000;0.000;0.647;0.000;0.000;    0;    0;    3;    0;    0;
    4705;12.07.22;11:28:24;4;128;13; --- ;21;0;0;1370;0;0;0;0;3836;0;0;0.000;0.000;0.643;0.000;0.000;    0;    0;    6;    0;    0;
    4765;12.07.22;11:29:24;5;128;13; --- ;33;0;0;1625;0;0;0;0;3623;0;0;0.000;0.000;0.551;0.000;0.000;    0;    0;    8;    0;    0;
    4825;12.07.22;11:30:24;6;128;13; --- ;47;0;0;1717;0;0;0;0;3394;0;0;0.000;0.000;0.494;0.000;0.000;    0;    0;   10;    0;    0;
    4885;12.07.22;11:31:24;7;128;13; --- ;81;0;0;1853;0;0;0;0;3234;0;0;0.000;0.000;0.427;0.000;0.000;    0;    0;   15;    0;    0;
    4945;12.07.22;11:32:24;8;128;13; --- ;127;0;0;1831;0;0;0;0;2978;0;0;0.000;0.000;0.385;0.000;0.000;    0;    0;   21;    0;    0;
    5005;12.07.22;11:33:24;9;128;13; --- ;240;0;0;1825;0;0;0;0;2720;0;0;0.000;0.000;0.329;0.000;0.000;    0;    0;   33;    0;    0;
    5065;12.07.22;11:34:24;10;128;13; --- ;404;0;0;1834;0;0;0;0;2550;0;0;0.000;0.000;0.281;0.000;0.000;    0;    0;   48;    0;    0;
    5125;12.07.22;11:35:24;11;128;13; --- ;553;0;0;1839;0;0;0;0;2426;0;0;0.000;0.000;0.242;0.000;0.000;    0;    0;   56;    0;    0;
    5185;12.07.22;11:36:24;12;128;13; --- ;667;0;0;1850;0;0;0;0;2363;0;0;0.000;0.000;0.217;0.000;0.000;    0;    0;   61;    0;    0;
    5245;12.07.22;11:37:24;13;128;13; --- ;787;0;0;1859;0;0;0;0;2303;0;0;0.000;0.000;0.193;0.000;0.000;    0;    0;   64;    0;    0;
    5305;12.07.22;11:38:24;14;128;13; --- ;934;0;0;1871;0;0;0;0;2252;0;0;0.000;0.000;0.169;0.000;0.000;    0;    0;   66;    0;    0;
