
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    5627;12.07.22;11:43:46;Type: LC 
    5628;12.07.22;11:43:47;20180201.par
    5627;12.07.22;11:43:46;1;7;13; --- ;0;Fo: ;0;0;892;0;0;Fm: ;0;0;2434;0;0
    5627;12.07.22;11:43:46;1;1;13; --- ;0;0;0;892;0;0;0;0;2434;0;0;0.000;0.000;0.634;0.000;0.000;    0;    0;    0;    0;    0;
    5688;12.07.22;11:44:47;2;32;13; --- ;5;0;0;939;0;0;0;0;2551;0;0;0.000;0.000;0.632;0.000;0.000;    0;    0;    1;    0;    0;
    5748;12.07.22;11:45:47;3;64;13; --- ;10;0;0;952;0;0;0;0;2617;0;0;0.000;0.000;0.636;0.000;0.000;    0;    0;    3;    0;    0;
    5808;12.07.22;11:46:47;4;128;13; --- ;21;0;0;950;0;0;0;0;2589;0;0;0.000;0.000;0.633;0.000;0.000;    0;    0;    6;    0;    0;
    5868;12.07.22;11:47:47;5;128;13; --- ;33;0;0;1121;0;0;0;0;2482;0;0;0.000;0.000;0.548;0.000;0.000;    0;    0;    8;    0;    0;
    5928;12.07.22;11:48:47;6;128;13; --- ;47;0;0;1165;0;0;0;0;2312;0;0;0.000;0.000;0.496;0.000;0.000;    0;    0;   10;    0;    0;
    5988;12.07.22;11:49:47;7;128;13; --- ;81;0;0;1230;0;0;0;0;2159;0;0;0.000;0.000;0.430;0.000;0.000;    0;    0;   15;    0;    0;
    6048;12.07.22;11:50:47;8;128;13; --- ;127;0;0;1229;0;0;0;0;2011;0;0;0.000;0.000;0.389;0.000;0.000;    0;    0;   21;    0;    0;
    6108;12.07.22;11:51:47;9;128;13; --- ;240;0;0;1248;0;0;0;0;1861;0;0;0.000;0.000;0.329;0.000;0.000;    0;    0;   33;    0;    0;
    6168;12.07.22;11:52:47;10;128;13; --- ;404;0;0;1243;0;0;0;0;1733;0;0;0.000;0.000;0.283;0.000;0.000;    0;    0;   48;    0;    0;
    6228;12.07.22;11:53:47;11;128;13; --- ;553;0;0;1269;0;0;0;0;1685;0;0;0.000;0.000;0.247;0.000;0.000;    0;    0;   57;    0;    0;
    6288;12.07.22;11:54:47;12;128;13; --- ;667;0;0;1264;0;0;0;0;1626;0;0;0.000;0.000;0.223;0.000;0.000;    0;    0;   62;    0;    0;
    6348;12.07.22;11:55:47;13;128;13; --- ;787;0;0;1268;0;0;0;0;1589;0;0;0.000;0.000;0.202;0.000;0.000;    0;    0;   67;    0;    0;
    6408;12.07.22;11:56:47;14;128;13; --- ;934;0;0;1303;0;0;0;0;1581;0;0;0.000;0.000;0.176;0.000;0.000;    0;    0;   69;    0;    0;
