
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
  262648;23.11.21;11:32:37;Type: LC 
  262649;23.11.21;11:32:38;20180201.par
  262648;23.11.21;11:32:37;1;6;14; --- ;0;Fo: ;0;0;978;0;0;Fm: ;0;0;2387;0;0
  262648;23.11.21;11:32:37;1;2;14; --- ;0;0;0;978;0;0;0;0;2387;0;0;0.000;0.000;0.590;0.000;0.000;    0;    0;    0;    0;    0;
  262739;23.11.21;11:34:08;2;32;14; --- ;5;0;0;1018;0;0;0;0;1996;0;0;0.000;0.000;0.490;0.000;0.000;    0;    0;    1;    0;    0;
  262829;23.11.21;11:35:38;3;64;14; --- ;10;0;0;1018;0;0;0;0;2030;0;0;0.000;0.000;0.499;0.000;0.000;    0;    0;    2;    0;    0;
  262919;23.11.21;11:37:08;4;128;14; --- ;21;0;0;1003;0;0;0;0;2069;0;0;0.000;0.000;0.515;0.000;0.000;    0;    0;    5;    0;    0;
  263009;23.11.21;11:38:38;5;128;14; --- ;33;0;0;1034;0;0;0;0;2377;0;0;0.000;0.000;0.565;0.000;0.000;    0;    0;    8;    0;    0;
  263099;23.11.21;11:40:08;6;128;14; --- ;47;0;0;1115;0;0;0;0;2308;0;0;0.000;0.000;0.517;0.000;0.000;    0;    0;   10;    0;    0;
  263189;23.11.21;11:41:38;7;128;14; --- ;127;0;0;1206;0;0;0;0;1908;0;0;0.000;0.000;0.368;0.000;0.000;    0;    0;   20;    0;    0;
  263279;23.11.21;11:43:08;8;128;14; --- ;240;0;0;1164;0;0;0;0;1674;0;0;0.000;0.000;0.305;0.000;0.000;    0;    0;   31;    0;    0;
  263369;23.11.21;11:44:38;9;128;14; --- ;404;0;0;1183;0;0;0;0;1556;0;0;0.000;0.000;0.240;0.000;0.000;    0;    0;   41;    0;    0;
  263459;23.11.21;11:46:08;10;128;14; --- ;553;0;0;1183;0;0;0;0;1478;0;0;0.000;0.000;0.200;0.000;0.000;    0;    0;   46;    0;    0;
  263549;23.11.21;11:47:38;11;128;14; --- ;667;0;0;1180;0;0;0;0;1426;0;0;0.000;0.000;0.173;0.000;0.000;    0;    0;   48;    0;    0;
  263639;23.11.21;11:49:08;12;128;14; --- ;787;0;0;1173;0;0;0;0;1380;0;0;0.000;0.000;0.150;0.000;0.000;    0;    0;   50;    0;    0;
  263729;23.11.21;11:50:38;13;128;14; --- ;934;0;0;1168;0;0;0;0;1333;0;0;0.000;0.000;0.124;0.000;0.000;    0;    0;   49;    0;    0;
