
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    1972;29.11.21;11:32:58;Type: LC 
    1973;29.11.21;11:32:59;20180201.par
    1972;29.11.21;11:32:58;1;6;9; --- ;0;Fo: ;0;0;1122;0;0;Fm: ;0;0;2849;0;0
    1972;29.11.21;11:32:58;1;2;9; --- ;0;0;0;1122;0;0;0;0;2849;0;0;0.000;0.000;0.606;0.000;0.000;    0;    0;    0;    0;    0;
    2063;29.11.21;11:34:29;2;32;9; --- ;5;0;0;1211;0;0;0;0;2836;0;0;0.000;0.000;0.573;0.000;0.000;    0;    0;    1;    0;    0;
    2153;29.11.21;11:35:59;3;64;9; --- ;10;0;0;1201;0;0;0;0;2863;0;0;0.000;0.000;0.581;0.000;0.000;    0;    0;    2;    0;    0;
    2243;29.11.21;11:37:29;4;128;9; --- ;21;0;0;1204;0;0;0;0;2974;0;0;0.000;0.000;0.595;0.000;0.000;    0;    0;    5;    0;    0;
    2333;29.11.21;11:38:59;5;128;9; --- ;33;0;0;1361;0;0;0;0;2857;0;0;0.000;0.000;0.524;0.000;0.000;    0;    0;    7;    0;    0;
    2423;29.11.21;11:40:29;6;128;9; --- ;47;0;0;1423;0;0;0;0;2725;0;0;0.000;0.000;0.478;0.000;0.000;    0;    0;    9;    0;    0;
    2513;29.11.21;11:41:59;7;128;9; --- ;127;0;0;1602;0;0;0;0;2506;0;0;0.000;0.000;0.361;0.000;0.000;    0;    0;   19;    0;    0;
    2603;29.11.21;11:43:29;8;128;9; --- ;240;0;0;1649;0;0;0;0;2359;0;0;0.000;0.000;0.301;0.000;0.000;    0;    0;   30;    0;    0;
    2693;29.11.21;11:44:59;9;128;9; --- ;404;0;0;1651;0;0;0;0;2179;0;0;0.000;0.000;0.242;0.000;0.000;    0;    0;   41;    0;    0;
    2783;29.11.21;11:46:29;10;128;9; --- ;553;0;0;1618;0;0;0;0;2027;0;0;0.000;0.000;0.202;0.000;0.000;    0;    0;   47;    0;    0;
    2873;29.11.21;11:47:59;11;128;9; --- ;667;0;0;1581;0;0;0;0;1919;0;0;0.000;0.000;0.176;0.000;0.000;    0;    0;   49;    0;    0;
    2963;29.11.21;11:49:29;12;128;9; --- ;787;0;0;1555;0;0;0;0;1833;0;0;0.000;0.000;0.152;0.000;0.000;    0;    0;   50;    0;    0;
    3053;29.11.21;11:50:59;13;128;9; --- ;934;0;0;1531;0;0;0;0;1755;0;0;0.000;0.000;0.128;0.000;0.000;    0;    0;   50;    0;    0;
