
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    3295;29.11.21;11:55:01;Type: LC 
    3296;29.11.21;11:55:02;20180201.par
    3295;29.11.21;11:55:01;1;6;9; --- ;0;Fo: ;0;0;1216;0;0;Fm: ;0;0;3111;0;0
    3295;29.11.21;11:55:01;1;2;9; --- ;0;0;0;1216;0;0;0;0;3111;0;0;0.000;0.000;0.609;0.000;0.000;    0;    0;    0;    0;    0;
    3386;29.11.21;11:56:32;2;32;9; --- ;5;0;0;1304;0;0;0;0;3085;0;0;0.000;0.000;0.577;0.000;0.000;    0;    0;    1;    0;    0;
    3476;29.11.21;11:58:02;3;64;9; --- ;10;0;0;1288;0;0;0;0;3095;0;0;0.000;0.000;0.584;0.000;0.000;    0;    0;    2;    0;    0;
    3566;29.11.21;11:59:32;4;128;9; --- ;21;0;0;1301;0;0;0;0;3209;0;0;0.000;0.000;0.595;0.000;0.000;    0;    0;    5;    0;    0;
    3656;29.11.21;12:01:02;5;128;9; --- ;33;0;0;1476;0;0;0;0;3072;0;0;0.000;0.000;0.520;0.000;0.000;    0;    0;    7;    0;    0;
    3746;29.11.21;12:02:32;6;128;9; --- ;47;0;0;1536;0;0;0;0;2920;0;0;0.000;0.000;0.474;0.000;0.000;    0;    0;    9;    0;    0;
    3836;29.11.21;12:04:02;7;128;9; --- ;127;0;0;1722;0;0;0;0;2688;0;0;0.000;0.000;0.359;0.000;0.000;    0;    0;   19;    0;    0;
    3926;29.11.21;12:05:32;8;128;9; --- ;240;0;0;1770;0;0;0;0;2527;0;0;0.000;0.000;0.300;0.000;0.000;    0;    0;   30;    0;    0;
    4016;29.11.21;12:07:02;9;128;9; --- ;404;0;0;1761;0;0;0;0;2308;0;0;0.000;0.000;0.237;0.000;0.000;    0;    0;   40;    0;    0;
    4106;29.11.21;12:08:32;10;128;9; --- ;553;0;0;1720;0;0;0;0;2140;0;0;0.000;0.000;0.196;0.000;0.000;    0;    0;   46;    0;    0;
    4196;29.11.21;12:10:02;11;128;9; --- ;667;0;0;1672;0;0;0;0;2016;0;0;0.000;0.000;0.171;0.000;0.000;    0;    0;   48;    0;    0;
    4286;29.11.21;12:11:32;12;128;9; --- ;787;0;0;1634;0;0;0;0;1916;0;0;0.000;0.000;0.147;0.000;0.000;    0;    0;   49;    0;    0;
    4376;29.11.21;12:13:02;13;128;9; --- ;934;0;0;1613;0;0;0;0;1837;0;0;0.000;0.000;0.122;0.000;0.000;    0;    0;   48;    0;    0;
