
"t";"Date";"Time";"No.";"Freq";"Gain";"Temp.";"PAR";"F1";"F2";"F3";"F4";"F5";"Fm'1";"Fm'2";"Fm'3";"Fm'4";"Fm'5";"Y1";"Y2";"Y3";"Y4";"Y5";"ETR1";"ETR2";"ETR3";"ETR4";"ETR5";
    4619;29.11.21;12:17:05;Type: LC 
    4620;29.11.21;12:17:05;20180201.par
    4619;29.11.21;12:17:05;1;6;9; --- ;0;Fo: ;0;0;1269;0;0;Fm: ;0;0;3323;0;0
    4619;29.11.21;12:17:05;1;2;9; --- ;0;0;0;1269;0;0;0;0;3323;0;0;0.000;0.000;0.618;0.000;0.000;    0;    0;    0;    0;    0;
    4709;29.11.21;12:18:35;2;32;9; --- ;5;0;0;1384;0;0;0;0;3319;0;0;0.000;0.000;0.583;0.000;0.000;    0;    0;    1;    0;    0;
    4799;29.11.21;12:20:05;3;64;9; --- ;10;0;0;1372;0;0;0;0;3334;0;0;0.000;0.000;0.588;0.000;0.000;    0;    0;    2;    0;    0;
    4889;29.11.21;12:21:35;4;128;9; --- ;21;0;0;1381;0;0;0;0;3439;0;0;0.000;0.000;0.598;0.000;0.000;    0;    0;    5;    0;    0;
    4979;29.11.21;12:23:05;5;128;9; --- ;33;0;0;1578;0;0;0;0;3289;0;0;0.000;0.000;0.520;0.000;0.000;    0;    0;    7;    0;    0;
    5069;29.11.21;12:24:35;6;128;9; --- ;47;0;0;1652;0;0;0;0;3140;0;0;0.000;0.000;0.474;0.000;0.000;    0;    0;    9;    0;    0;
    5159;29.11.21;12:26:05;7;128;9; --- ;127;0;0;1856;0;0;0;0;2903;0;0;0.000;0.000;0.361;0.000;0.000;    0;    0;   19;    0;    0;
    5249;29.11.21;12:27:35;8;128;9; --- ;240;0;0;1895;0;0;0;0;2708;0;0;0.000;0.000;0.300;0.000;0.000;    0;    0;   30;    0;    0;
    5339;29.11.21;12:29:05;9;128;9; --- ;404;0;0;1888;0;0;0;0;2479;0;0;0.000;0.000;0.238;0.000;0.000;    0;    0;   40;    0;    0;
    5429;29.11.21;12:30:35;10;128;9; --- ;553;0;0;1842;0;0;0;0;2292;0;0;0.000;0.000;0.196;0.000;0.000;    0;    0;   46;    0;    0;
    5519;29.11.21;12:32:05;11;128;9; --- ;667;0;0;1788;0;0;0;0;2156;0;0;0.000;0.000;0.171;0.000;0.000;    0;    0;   48;    0;    0;
    5609;29.11.21;12:33:35;12;128;9; --- ;787;0;0;1748;0;0;0;0;2050;0;0;0.000;0.000;0.147;0.000;0.000;    0;    0;   49;    0;    0;
    5699;29.11.21;12:35:05;13;128;9; --- ;934;0;0;1714;0;0;0;0;1958;0;0;0.000;0.000;0.125;0.000;0.000;    0;    0;   49;    0;    0;
